Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.MDV201_1140227FUSE,    2.77711,     0.14,     0.12,    18.4548,    7.98305, 0, 4, 1, 7.2 
Line.MDV201_HN_2_488_C8103,    8.51824,     5.23,     4.35,    57.4895,    23.7105, 0, 9, 1, 7.2 
Line.MDV201_DA_8_917_A56768,    49.1892,    22.56,    18.77,    323.932,    140.635, 0, 43, 1, 7.2 
Line.MDV201_HN_2_029_ABC62262,    87.5117,    25.89,    21.55,    1109.99,    468.534, 0, 197, 3, 7.2 
Line.MDV201_HN_2_955_B39752,     3.0138,     1.85,     1.54,    19.6751,    7.84185, 0, 5, 1, 7.2 
Line.MDV201_DA_8_215_B1017348,    6.56429,     2.42,     2.02,    42.8428,    17.0828, 0, 8, 1, 7.2 
Line.MDV201_DA_8_678_A56764,    6.27035,     3.85,     3.20,    41.3424,    17.8614, 0, 7, 1, 7.2 
Line.MDV201_HN_2_834_B39617,    7.73616,     3.55,     2.95,    51.4633,    20.5245, 0, 9, 1, 7.2 
Line.MDV201_HN_2_906_A39580,    2.24242,     1.38,     1.14,    14.7276,    6.34537, 0, 2, 1, 7.2 
Line.MDV201_DA_8_734_C74440,    8.39721,     5.15,     4.28,    55.4928,    22.8403, 0, 10, 1, 7.2 
Line.MDV201_DA_8_157_ABC58429,    37.6651,     8.31,     6.92,    286.772,    118.094, 0, 57, 3, 7.2 
Line.MDV201_HN_2_605_A21655,     16.257,     9.97,     8.29,    107.664,    46.8832, 0, 31, 1, 7.2 
Line.MDV201_HN_2_636_AC28249,    34.1727,    15.68,    13.04,    253.205,    108.864, 0, 46, 2, 7.2 
Line.MDV201_HN_2_705_ABC52524,    97.4044,    28.82,    23.99,    931.406,    383.657, 0, 176, 3, 7.2 
Line.MDV201_DA_8_928_A39733,    17.1345,     7.86,     6.54,    112.598,    48.7768, 0, 15, 1, 7.2 
Line.MDV201_HN_2_383_ABC8113,    22.0462,     9.84,    13.05,    227.404,    96.7791, 0, 60, 3, 7.2 
Line.MDV201_HN_2_803_B837,    28.9719,    13.29,    11.06,    192.703,    76.8885, 0, 30, 1, 7.2 
Line.SW-HN_2_793_SW,    388.011,    97.00,    64.67,    7363.79,    3208.17, 0, 1379, 3, 7.2 
Line.MDV201_796USD,    388.011,    19.40,    16.17,    7363.39,    3207.77, 0, 1379, 3, 7.2 
Line.MDV201_HN_1_332_C28263,    0.72514,     0.44,     0.37,    4.85668,     1.9965, 0, 1, 1, 7.2 
Line.MDV201_HN_2_890_B52521,    4.85445,     2.98,     2.48,    31.9486,    12.7078, 0, 7, 1, 7.2 
Line.MDV201_HN_2_377_ABC28196,    1.01628,     0.45,     0.60,    16.6912,    6.88919, 0, 5, 3, 7.2 
Line.MDV201_HN_1_331_C28262,   0.724674,     0.44,     0.37,    4.85672,    1.98763, 0, 1, 1, 7.2 
Line.MDV201_HN_2_628_C52531,    4.23638,     1.94,     1.62,    28.5633,    11.8877, 0, 3, 1, 7.2 
Line.MDV201_HN_2_964_A14870,    15.9784,     9.80,     8.15,    106.327,    45.8972, 0, 21, 1, 7.2 
Line.MDV201_DA_8_200_C46399,    30.4357,    24.35,    20.29,    202.001,    83.1715, 0, 40, 1, 7.2 
Line.MDV201_106895FUSE,    1.11149,     0.06,     0.05,    7.45849,    2.97336, 0, 1, 1, 7.2 
Line.HN_2P054_SW, 1.09318E-006,     0.00,     0.00, 3.9807E-006, -6.80579E-006, 0, 0, 1, 7.2 
Line.MDV201_1163443ELB, 5.3948E-006,     0.00,     0.00, -2.93034E-005, -2.55982E-005, 0, 0, 1, 7.2 
Line.MDV201_DA_8_142_ABC6584,     77.629,    22.97,    19.12,       1033,    433.971, 0, 180, 3, 7.2 
Line.MDV201_1144249FUSE,    18.8445,     0.94,     0.79,     127.64,    52.5723, 0, 28, 1, 7.2 
Line.MDV201_HN_2_965_A63726,    13.3799,     8.21,     6.83,     89.017,    38.4191, 0, 17, 1, 7.2 
Line.MDV201_C_1_410_A8131,    5.14393,     3.16,     2.62,    34.0005,    14.8908, 0, 11, 1, 7.2 
Line.MDV201_HN_2_463_C62234,    12.8323,     5.89,     4.90,    85.6201,     35.216, 0, 15, 1, 7.2 
Line.MDV201_HN_2_133_ABC8083,    142.762,    63.73,    84.47,    1807.29,    747.417, 0, 353, 3, 7.2 
Line.MDV201_HN_2_840_B52518,    45.2718,    20.77,    17.28,    298.565,    119.307, 0, 65, 1, 7.2 
Line.MDV201_HN_2_808_ABC783,    388.014,    62.68,    52.22,    7354.38,     3176.2, 0, 1379, 3, 7.2 
Line.MDV201_HN_2_608_A8133,   0.523517,     0.32,     0.27,    3.45081,    1.53534, 0, 1, 1, 7.2 
Line.MDV201_C_1P032_1160490, 8.52992E-006,     0.00,     0.00, -7.2272E-006, -6.07764E-005, 0, 0, 1, 7.2 
Line.MDV201_HN_2_077_C28274,    1.48676,     1.19,     0.99,    10.0524,    4.15039, 0, 3, 1, 7.2 
Line.MDV201_HN_2_711_A63676,    4.44849,     2.73,     2.27,     29.572,    12.8084, 0, 7, 1, 7.2 
Line.MDV201_HN_2_923_C28266,   0.975586,     0.60,     0.50,    6.53566,     2.6696, 0, 1, 1, 7.2 
Line.MDV201_HN_21041_C39773,    1.15715,     0.53,     0.44,    7.73978,    3.18189, 0, 1, 1, 7.2 
Line.MDV201_HN_2_644_A28238,    14.8888,     6.83,     5.68,    98.9384,    42.7467, 0, 20, 1, 7.2 
Line.MDV201_1144260FUSE,    53.3345,     2.67,     2.22,    354.975,     141.88, 0, 57, 1, 7.2 
Line.MDV201_HN_2_539_C8098,    3.94944,     2.42,     2.02,    26.5759,      10.95, 0, 7, 1, 7.2 
Line.MDV201_HN_2_800_B850,    17.4602,     8.01,     6.66,     116.14,    46.4508, 0, 19, 1, 7.2 
Line.MDV201_HN_2_092_ABC63711,    139.733,    41.34,    34.42,    1957.58,     822.87, 0, 340, 3, 7.2 
Line.MDV201_HN_2P014_B1160485,    11.6488,     7.77,     7.77,    75.9774,    30.2096, 0, 10, 1, 7.2 
Line.MDV201_C_1_412_A8128,    4.53721,     2.78,     2.31,    29.9894,    13.1285, 0, 8, 1, 7.2 
Line.MDV201_HN_2_533_A8117,    2.51285,     1.54,     1.28,    16.5896,    7.16457, 0, 4, 1, 7.2 
Line.MDV201_HN_2_970_A63710,    3.11287,     1.91,     1.59,    20.6999,    8.93025, 0, 4, 1, 7.2 
Line.MDV201_C_1_400_A21653,    14.1184,     8.66,     7.20,    93.4736,    40.6929, 0, 27, 1, 7.2 
Line.MDV201_HN_2_124_C63703,    3.81925,     3.06,     2.55,    25.7431,    10.6969, 0, 7, 1, 7.2 
Line.MDV201_106254FUSE,    1.09128,     0.05,     0.05,    7.20713,    3.08561, 0, 1, 1, 7.2 
Line.MDV201_HN_1_380_C1012407,    2.62903,     1.61,     1.34,    17.6476,    7.24144, 0, 1, 1, 7.2 
Line.MDV201_HN_2_381_ABC1010731,    22.0444,     9.84,    13.04,    297.906,    125.834, 0, 72, 3, 7.2 
Line.MDV201_DA_8_732_C74453,    11.5674,     7.10,     5.90,    76.4602,    31.4575, 0, 14, 1, 7.2 
Line.MDV201_DA_8_144_ABC6582,     79.765,    23.60,    19.65,    1047.21,     440.19, 0, 182, 3, 7.2 
Line.MDV201_HN_1_147_C1012412,    2.26492,     1.81,     1.51,    15.1378,    6.39618, 0, 5, 1, 7.2 
Line.MDV201_HN_2_846_B69620,    31.1347,    14.28,    11.88,    205.031,    81.7789, 0, 46, 1, 7.2 
Line.MDV201_HN_2_814_ABC14891,    139.729,    41.34,    34.42,    2097.18,    887.994, 0, 368, 3, 7.2 
Line.MDV201_DA_8_868_B1103250, 0.000855801,     0.00,     0.00, 6.48003E-012, -0.00601275, 0, 0, 1, 7.2 
Line.MDV201_1017350FUSE,    6.56427,     0.33,     0.27,    42.8428,    17.0825, 0, 8, 1, 7.2 
Line.MDV201_HN_2_719_C14872,    6.67077,     3.06,     2.55,    45.0095,    18.5726, 0, 8, 1, 7.2 
Line.MDV201_HN_2_930_B62301,   0.886157,     0.54,     0.45,    5.85988,     2.3491, 0, 2, 1, 7.2 
Line.MDV201_HN_2_407_B809,    20.6281,    12.66,    10.52,    138.535,    55.2249, 0, 28, 1, 7.2 
Line.MDV201_HN_2_650_A28242,    4.08587,     1.87,     1.56,    27.1614,    11.7078, 0, 6, 1, 7.2 
Line.MDV201_DA_8_492_ABC74428,    38.0079,    11.24,     9.36,    503.318,    205.466, 0, 102, 3, 7.2 
Line.MDV201_HN_2_151_C14833,    16.7497,    13.40,    11.17,    113.416,    46.7314, 0, 26, 1, 7.2 
Line.MDV201_HN_2_641_AC14893,    32.7382,    15.02,    12.50,    217.638,    93.9978, 0, 39, 2, 7.2 
Line.MDV201_DA_8_203_C46407,    26.8125,    21.45,    17.87,     177.73,    73.1399, 0, 36, 1, 7.2 
Line.MDV201_HN_1_172_A94737,   0.998782,     0.80,     0.67,    6.55521,    2.82783, 0, 2, 1, 7.2 
Line.MDV201_HN_1_165_C89780,    1.82952,     1.46,     1.22,     12.276,     5.0442, 0, 3, 1, 7.2 
Line.MDV201_HN_2_127_C63708,    5.02417,     4.02,     3.35,    33.8781,    14.0455, 0, 8, 1, 7.2 
Line.MDV201_PB_0928_A1000987,   0.652181,     0.43,     0.43,    4.36159,    1.72748, 0, 1, 1, 7.2 
Line.MDV201_HN_2_128_ABC28288,    19.6278,     9.00,     7.49,    153.661,    63.0547, 0, 39, 3, 7.2 
Line.SW-HN_2_381_SW,    22.0452,     5.51,     3.67,    297.866,     125.83, 0, 72, 3, 7.2 
Line.MDV201_1010732USD,    22.0452,     1.10,     0.92,    297.865,    125.829, 0, 72, 3, 7.2 
Line.MDV201_1144262FUSE,    17.4192,     0.87,     0.73,    117.646,    48.5463, 0, 19, 1, 7.2 
Line.MDV201_C_1_138_ABC1127424, 0.00299176,     0.00,     0.00, 3.06378E-009, -0.0611992, 0, 0, 3, 7.2 
Line.MDV201_DA_8_234_ABC56762,    56.5471,    16.73,    13.93,    878.132,    367.083, 0, 152, 3, 7.2 
Line.MDV201_1144253FUSE,    2.92908,     0.15,     0.12,    19.1886,    7.66326, 0, 2, 1, 7.2 
Line.MDV201_HN_2_120_A28281,    5.24674,     4.20,     3.50,    34.4168,    14.9766, 0, 12, 1, 7.2 
Line.MDV201_HN_1_274_A94747,  0.0632413,     0.05,     0.04,   0.396545,   0.216943, 0, 1, 1, 7.2 
Line.MDV201_HN_2_852_B39588,    9.57077,     4.39,     3.65,    62.9673,     25.106, 0, 13, 1, 7.2 
Line.MDV201_HN_2_820_B39623,    8.91465,     4.09,     3.40,    59.2306,    23.6818, 0, 9, 1, 7.2 
Line.MDV201_C_1_506_A8143,    29.4531,    18.07,    15.03,    194.475,    83.1451, 0, 32, 1, 7.2 
Line.MDV201_DA_8_216_B1017349,    4.23642,     1.56,     1.30,    27.6405,    11.0387, 0, 6, 1, 7.2 
Line.MDV201_HN_2_291_ABC63681,    97.3996,    21.50,    17.90,    1428.81,     594.62, 0, 269, 3, 7.2 
Line.MDV201_106259FUSE,    33.7901,     1.69,     1.41,    224.387,    92.3518, 0, 43, 1, 7.2 
Line.MDV201_HN_2_382_ABC823,    22.0452,     9.84,    13.04,    297.865,     125.83, 0, 72, 3, 7.2 
Line.MDV201_HN_2_821_B39618,    5.02313,     2.30,     1.92,    33.3916,    13.3012, 0, 5, 1, 7.2 
Line.MDV201_HN_2_927_C94731,    1.63465,     1.00,     0.83,    11.0437,    4.52268, 0, 2, 1, 7.2 
Line.MDV201_HN_2_235_ABC854,   0.707337,     0.32,     0.42,    14.0157,    5.91921, 0, 3, 3, 7.2 
Line.MDV201_HN_2_306_ABC28286,    21.1427,     9.70,     8.07,    202.664,    84.1058, 0, 54, 3, 7.2 
Line.MDV201_C_1_411_A8127,    4.53679,     2.78,     2.31,    29.9906,    13.1218, 0, 8, 1, 7.2 
Line.MDV201_HN_2_520_A8092,    15.6036,     9.57,     7.96,    103.165,    44.3738, 0, 19, 1, 7.2 
Line.MDV201_HN_2_420_A814,    17.0235,    10.44,     8.69,    113.944,     49.234, 0, 24, 1, 7.2 
Line.MDV201_HN_2_153_B14829,    97.4147,    77.93,    64.94,    647.088,    259.307, 0, 114, 1, 7.2 
Line.MDV201_HN_2_870_C831,    29.6353,    13.59,    11.31,     199.32,    82.4199, 0, 31, 1, 7.2 
Line.MDV201_C_1_354_B1008227,    1.22013,     0.75,     0.62,    8.08914,    3.21261, 0, 1, 1, 7.2 
Line.MDV201_HN_21036_ABC28186,   0.706561,     0.32,     0.42,    14.0157,      5.882, 0, 3, 3, 7.2 
Line.MDV201_DA_8_139_B56756,    2.09313,     1.67,     1.40,    13.6714,    5.42119, 0, 2, 1, 7.2 
Line.MDV201_HN_2_422_A790,    21.3077,    13.07,    10.87,    142.709,    61.5974, 0, 29, 1, 7.2 
Line.HN_2P011_SW,    21.2425,     5.31,     3.54,    138.544,    55.1671, 0, 19, 1, 7.2 
Line.MDV201_15005ELB,    21.2425,     1.06,     1.06,    138.544,    55.1667, 0, 19, 1, 7.2 
Line.MDV201_1149717FUSE,     2.2757,     0.11,     0.09,    15.2603,    6.06388, 0, 2, 3, 7.2 
Line.MDV201_DA_8_218_B8204,    1.22079,     0.45,     0.38,    7.95121,    3.21264, 0, 2, 1, 7.2 
Line.MDV201_HN_2_387_B804,      4.782,     2.93,     2.44,    32.1329,    12.8084, 0, 6, 1, 7.2 
Line.MDV201_HN_2_859_B94734,    1.05035,     0.64,     0.54,    6.91053,    2.76118, 0, 2, 1, 7.2 
Line.MDV201_HN_2_830_A14875,   0.816009,     0.50,     0.42,    5.41483,    2.36334, 0, 1, 1, 7.2 
Line.MDV201_1012406FUSE,    8.32058,     0.42,     0.35,    55.7672,    23.1568, 0, 12, 1, 7.2 
Line.MDV201_HN_2_186_ABC15011,    85.0606,    25.17,    20.95,    1083.14,    456.733, 0, 191, 3, 7.2 
Line.MDV201_HN_2_522_C855,      14.34,     8.80,     7.32,    96.5232,    39.7463, 0, 19, 1, 7.2 
Line.MDV201_108027FUSE,    1.47019,     0.07,     0.06,    9.87575,    4.06054, 0, 2, 1, 7.2 
Line.MDV201_1010727FUSE,    23.2983,     1.16,     0.97,    156.092,    67.4345, 0, 32, 1, 7.2 
Line.MDV201_HN_2_831_ABC39762, 0.000403641,     0.00,     0.00, 1.10936E-009, -0.00812303, 0, 0, 3, 7.2 
Line.MDV201_1145433FUSE,    0.87489,     0.04,     0.04,    5.87393,    2.40294, 0, 1, 1, 7.2 
Line.MDV201_HN_2_540_C8108,    2.31854,     1.42,     1.18,    15.6054,    6.41753, 0, 4, 1, 7.2 
Line.MDV201_HN_2_653_A14878,    2.28412,     1.05,     0.87,    15.1797,    6.54178, 0, 4, 1, 7.2 
Line.MDV201_C_1_083_B69488,    2.52296,     2.02,     1.68,    16.7206,    6.65506, 0, 3, 1, 7.2 
Line.MDV201_HN_2P016_B1160487,    4.49776,     3.00,     3.00,    29.3446,    11.6346, 0, 4, 1, 7.2 
Line.MDV201_HN_2_223_B8168,    1.15181,     0.92,     0.77,    7.73892,    3.08336, 0, 2, 1, 7.2 
Line.MDV201_1163441ELB-1_SW,  0.0136455,     0.00,     0.00, 3.98407E-006, -0.0984175, 0, 0, 1, 7.2 
Line.MDV201_1163441ELB,  0.0136492,     0.00,     0.00, -2.55295E-005, -0.0984439, 0, 0, 1, 7.2 
Line.MDV201_HN_2_731_B14852,   0.647714,     0.40,     0.33,    4.34857,    1.76185, 0, 1, 1, 7.2 
Line.C_1P035_SW,    15.4983,     3.87,     2.58,    102.037,    43.8578, 0, 17, 1, 7.2 
Line.MDV201_8082ELB,    15.4983,     0.77,     0.77,    102.037,    43.8576, 0, 17, 1, 7.2 
Line.MDV201_HN_2_064_C14871,    6.70884,     3.08,     2.56,    45.2468,    18.7385, 0, 10, 1, 7.2 
Line.MDV201_HN_2_878_B1144266,    7.24755,     4.45,     3.70,     48.637,    19.3772, 0, 11, 1, 7.2 
Line.MDV201_HN_2_149_C28298,    8.31388,     6.65,     5.54,    56.2398,    23.2048, 0, 13, 1, 7.2 
Line.MDV201_HN_1_177_C69626,    1.47021,     0.90,     0.75,    9.87575,     4.0609, 0, 2, 1, 7.2 
Line.MDV201_DA_8_809_C46402,    1.32647,     0.61,     0.51,    8.80727,    3.60999, 0, 1, 1, 7.2 
Line.MDV201_1144263FUSE,    8.90025,     0.45,     0.37,    59.1788,    25.6194, 0, 12, 1, 7.2 
Line.MDV201_HN_2_868_C833,    36.7206,    16.84,    14.02,    247.049,    102.303, 0, 37, 1, 7.2 
Line.MDV201_HN_2_836_B39616,    2.89031,     1.33,     1.10,    19.2309,    7.65232, 0, 3, 1, 7.2 
Line.MDV201_103731FUSE,    6.86535,     0.34,     0.29,    45.1444,    19.4275, 0, 8, 1, 7.2 
Line.MDV201_C_1P031_A1160501,    1.72718,     1.15,     1.15,    11.4482,    4.74628, 0, 3, 1, 7.2 
Line.MDV201_HN_2_404_B799,    1.00495,     0.62,     0.51,    6.74692,    2.70373, 0, 2, 1, 7.2 
Line.MDV201_HN_2_121_C28294,    1.78895,     1.43,     1.19,    12.0769,    4.95795, 0, 3, 1, 7.2 
Line.MDV201_C_1_389_A1000986,    10.4196,     6.39,     5.32,    68.8215,    29.6827, 0, 11, 1, 7.2 
Line.MDV201_HN_2_491_C8114,    4.96026,     3.04,     2.53,    33.4589,    13.8314, 0, 4, 1, 7.2 
Line.MDV201_HN_2_837_B39584,    51.8105,    23.77,    19.78,    342.016,     136.81, 0, 74, 1, 7.2 
Line.MDV201_DA_8_150_ABC56781,    38.0064,    11.24,     9.36,    518.317,    211.533, 0, 104, 3, 7.2 
Line.MDV201_C_1P026_A1160505,    5.53156,     3.69,     3.69,    36.4743,    15.6534, 0, 6, 1, 7.2 
Line.MDV201_HN_2_659_C62237,    58.0391,    26.62,    22.15,    386.981,    160.122, 0, 60, 1, 7.2 
Line.MDV201_HN_2_893_A39590,    13.3757,    10.70,     8.92,    87.8841,    37.8525, 0, 16, 1, 7.2 
Line.HN_2P009_SW,    28.1967,     7.05,     4.70,    184.015,    73.1271, 0, 25, 1, 7.2 
Line.MDV201_15008ELB,    28.1967,     1.41,     1.41,    184.014,    73.1263, 0, 25, 1, 7.2 
Line.MDV201_HN_2_173_B39600, 0.00112167,     0.00,     0.00, -6.82271E-012, -0.00798634, 0, 0, 1, 7.2 
Line.MDV201_HN_2_220_B44580,    2.73766,     2.19,     1.83,    18.3986,    7.32377, 0, 4, 1, 7.2 
Line.MDV201_HN_2_630_C28228,    8.06883,     3.70,     3.08,     54.457,    22.5291, 0, 8, 1, 7.2 
Line.MDV201_HN_2_427_B826,    1.88524,     1.16,     0.96,    12.6613,    5.02991, 0, 2, 1, 7.2 
Line.MDV201_C_1P032_A69460,    3.17846,     2.12,     2.12,    20.9424,    8.94814, 0, 3, 1, 7.2 
Line.MDV201_HN_2_350_ABC52517,    35.0606,    16.08,    13.38,    422.409,    174.308, 0, 105, 3, 7.2 
Line.MDV201_HN_2_796_ABC782,    388.013,    62.68,    52.22,    7357.54,     3187.2, 0, 1379, 3, 7.2 
